cohort,language,number_prs,actor.display_login
2017-10,D,565.0,91.0
2017-11,D,626.0,102.0
2017-07,DIGITAL Command Language,105.0,18.0
2017-08,DIGITAL Command Language,49.0,18.0
2017-09,DIGITAL Command Language,63.0,13.0
2017-10,DIGITAL Command Language,66.0,18.0
2017-11,DIGITAL Command Language,62.0,15.0
2017-07,DM,3190.0,217.0
2017-08,DM,3124.0,234.0
2017-09,DM,3264.0,238.0
2017-10,DM,4024.0,242.0
2017-11,DM,3328.0,246.0
2017-09,DOT,1.0,1.0
2017-07,DTrace,8.0,5.0
2017-08,DTrace,10.0,5.0
2017-09,DTrace,9.0,3.0
2017-10,DTrace,4.0,2.0
2017-11,DTrace,16.0,8.0
2017-07,Dart,878.0,135.0
2017-08,Dart,777.0,123.0
2017-09,Dart,861.0,141.0
2017-10,Dart,1013.0,164.0
2017-11,Dart,900.0,129.0
2017-11,DataWeave,1.0,1.0
2017-08,Delphi,1.0,1.0
2017-08,Diff,2.0,2.0
2017-10,Diff,1.0,1.0
2017-11,Dylan,2.0,2.0
2017-09,E,3.0,1.0
2017-10,E,8.0,3.0
2017-11,E,1.0,1.0
2017-07,ECL,5.0,1.0
2017-08,ECL,6.0,2.0
2017-09,ECL,2.0,1.0
2017-10,ECL,1.0,1.0
2017-07,EQ,6.0,1.0
2017-09,EQ,1.0,1.0
2017-10,EQ,1.0,1.0
2017-11,EQ,3.0,1.0
2017-07,Eagle,189.0,79.0
2017-08,Eagle,167.0,85.0
2017-09,Eagle,176.0,63.0
2017-10,Eagle,105.0,63.0
2017-11,Eagle,27.0,21.0
2017-07,Eiffel,13.0,7.0
2017-08,Eiffel,13.0,5.0
2017-09,Eiffel,21.0,6.0
2017-10,Eiffel,30.0,8.0
2017-11,Eiffel,20.0,9.0
2017-07,Elixir,2437.0,593.0
2017-08,Elixir,2472.0,620.0
2017-09,Elixir,2275.0,604.0
2017-10,Elixir,3053.0,673.0
2017-11,Elixir,2275.0,589.0
2017-07,Elm,475.0,142.0
2017-08,Elm,358.0,129.0
2017-09,Elm,314.0,117.0
2017-10,Elm,439.0,157.0
2017-11,Elm,348.0,134.0
2017-07,Emacs Lisp,880.0,295.0
2017-08,Emacs Lisp,768.0,268.0
2017-09,Emacs Lisp,673.0,276.0
2017-10,Emacs Lisp,931.0,304.0
2017-11,Emacs Lisp,828.0,286.0
2017-07,EmberScript,15.0,4.0
2017-08,EmberScript,17.0,3.0
2017-09,EmberScript,18.0,5.0
2017-10,EmberScript,41.0,5.0
2017-11,EmberScript,17.0,6.0
2017-07,Erlang,1067.0,230.0
2017-08,Erlang,961.0,238.0
2017-09,Erlang,806.0,181.0
2017-10,Erlang,853.0,202.0
2017-11,Erlang,1027.0,220.0
2017-07,F#,473.0,93.0
2017-08,F#,461.0,103.0
2017-09,F#,489.0,107.0
2017-10,F#,685.0,126.0
2017-11,F#,565.0,121.0
2017-07,FLUX,3.0,1.0
2017-09,FLUX,1.0,1.0
2017-11,FLUX,1.0,1.0
2017-07,FORTRAN,14.0,9.0
2017-08,FORTRAN,18.0,13.0
2017-09,FORTRAN,16.0,13.0
2017-10,FORTRAN,33.0,14.0
2017-11,FORTRAN,16.0,11.0
2017-07,Factor,6.0,2.0
2017-08,Factor,5.0,3.0
2017-09,Factor,2.0,1.0
2017-10,Factor,6.0,2.0
2017-11,Factor,2.0,2.0
2017-07,Forth,4.0,4.0
2017-08,Forth,9.0,5.0
2017-09,Forth,21.0,6.0
2017-10,Forth,19.0,7.0
2017-11,Forth,16.0,10.0
2017-07,Fortran,612.0,178.0
2017-08,Fortran,546.0,169.0
2017-09,Fortran,762.0,183.0
2017-10,Fortran,660.0,185.0
2017-11,Fortran,615.0,197.0
2017-07,FreeMarker,160.0,24.0
2017-08,FreeMarker,211.0,34.0
2017-09,FreeMarker,186.0,29.0
2017-10,FreeMarker,194.0,41.0
2017-11,FreeMarker,150.0,36.0
2017-07,GAMS,1.0,1.0
2017-08,GAMS,34.0,4.0
2017-09,GAMS,1.0,1.0
2017-10,GAMS,20.0,2.0
2017-07,GAP,105.0,14.0
2017-08,GAP,132.0,17.0
2017-09,GAP,139.0,22.0
2017-10,GAP,114.0,16.0
2017-11,GAP,164.0,17.0
2017-07,GCC Machine Description,36.0,32.0
2017-08,GCC Machine Description,34.0,21.0
2017-09,GCC Machine Description,18.0,18.0
2017-10,GCC Machine Description,45.0,40.0
2017-11,GCC Machine Description,27.0,26.0
2017-07,GDB,5.0,1.0
2017-08,GDB,2.0,1.0
2017-07,GDScript,51.0,18.0
2017-08,GDScript,74.0,30.0
2017-09,GDScript,34.0,19.0
2017-10,GDScript,86.0,34.0
2017-11,GDScript,121.0,40.0
2017-07,GLSL,32.0,20.0
2017-08,GLSL,77.0,19.0
2017-09,GLSL,46.0,19.0
2017-10,GLSL,70.0,31.0
2017-11,GLSL,76.0,36.0
2017-07,Game Maker Language,14.0,9.0
2017-08,Game Maker Language,16.0,9.0
2017-09,Game Maker Language,24.0,10.0
2017-10,Game Maker Language,38.0,18.0
2017-11,Game Maker Language,12.0,8.0
2017-09,Genshi,1.0,1.0
2017-07,Gherkin,170.0,56.0
2017-08,Gherkin,260.0,61.0
2017-09,Gherkin,248.0,67.0
2017-10,Gherkin,286.0,78.0
2017-11,Gherkin,168.0,64.0
2017-08,Glyph,1.0,1.0
2017-07,Gnuplot,41.0,8.0
2017-08,Gnuplot,38.0,9.0
2017-09,Gnuplot,33.0,9.0
2017-10,Gnuplot,51.0,12.0
2017-11,Gnuplot,44.0,11.0
2017-07,Go,25520.0,4844.0
2017-08,Go,29838.0,5224.0
2017-09,Go,27286.0,5074.0
2017-10,Go,31475.0,5824.0
2017-11,Go,31374.0,5725.0
2017-07,Gosu,131.0,20.0
2017-08,Gosu,68.0,12.0
2017-09,Gosu,41.0,11.0
2017-10,Gosu,43.0,7.0
2017-11,Gosu,65.0,12.0
2017-07,Grammatical Framework,3.0,1.0
2017-08,Grammatical Framework,12.0,6.0
2017-10,Grammatical Framework,3.0,2.0
2017-11,Grammatical Framework,1.0,1.0
2017-07,Groff,12.0,9.0
2017-08,Groff,1.0,1.0
2017-09,Groff,6.0,6.0
2017-10,Groff,6.0,5.0
2017-11,Groff,5.0,5.0
2017-07,Groovy,2039.0,542.0
2017-08,Groovy,2205.0,536.0
2017-09,Groovy,2283.0,539.0
2017-10,Groovy,2542.0,587.0
2017-11,Groovy,2278.0,626.0
2017-07,HCL,821.0,234.0
2017-08,HCL,1417.0,288.0
2017-09,HCL,1416.0,303.0
2017-10,HCL,1271.0,329.0
2017-11,HCL,1303.0,313.0
2017-07,HLSL,1.0,1.0
2017-08,HLSL,10.0,8.0
2017-09,HLSL,2.0,1.0
2017-10,HLSL,41.0,3.0
2017-11,HLSL,20.0,9.0
2017-07,HTML,54021.0,14654.0
2017-08,HTML,61478.0,15665.0
2017-09,HTML,59904.0,16312.0
2017-10,HTML,75314.0,19807.0
2017-11,HTML,70612.0,18471.0
2017-07,Hack,8.0,7.0
2017-08,Hack,40.0,9.0
2017-09,Hack,27.0,9.0
2017-10,Hack,34.0,10.0
2017-11,Hack,20.0,10.0
2017-08,Handlebars,1.0,1.0
2017-07,Harbour,17.0,3.0
2017-08,Harbour,14.0,8.0
2017-09,Harbour,10.0,3.0
2017-10,Harbour,16.0,5.0
2017-11,Harbour,11.0,2.0
2017-07,Haskell,2112.0,521.0
2017-08,Haskell,2198.0,536.0
2017-09,Haskell,1923.0,525.0
2017-10,Haskell,2168.0,569.0
2017-11,Haskell,2120.0,550.0
2017-07,Haxe,177.0,53.0
2017-08,Haxe,191.0,57.0
2017-09,Haxe,212.0,63.0
2017-10,Haxe,308.0,67.0
2017-11,Haxe,237.0,60.0
2017-07,Hy,1.0,1.0
2017-08,Hy,1.0,1.0
2017-07,HyPhy,1.0,1.0
2017-08,HyPhy,5.0,1.0
2017-09,HyPhy,19.0,3.0
2017-10,HyPhy,13.0,1.0
2017-11,HyPhy,17.0,4.0
2017-07,IDL,10.0,8.0
2017-08,IDL,14.0,6.0
2017-09,IDL,22.0,10.0
2017-10,IDL,8.0,8.0
2017-11,IDL,20.0,12.0
2017-08,IGOR Pro,4.0,2.0
2017-09,IGOR Pro,16.0,2.0
2017-10,IGOR Pro,4.0,3.0
2017-11,IGOR Pro,1.0,1.0
2017-07,Idris,40.0,12.0
2017-08,Idris,27.0,11.0
2017-09,Idris,9.0,5.0
2017-10,Idris,15.0,10.0
2017-11,Idris,7.0,6.0
2017-07,Inform 7,3.0,2.0
2017-08,Inform 7,25.0,5.0
2017-09,Inform 7,49.0,8.0
2017-10,Inform 7,76.0,9.0
2017-11,Inform 7,75.0,11.0
2017-07,Inno Setup,8.0,6.0
2017-08,Inno Setup,12.0,10.0
2017-09,Inno Setup,5.0,4.0
2017-10,Inno Setup,17.0,8.0
2017-11,Inno Setup,18.0,7.0
2017-07,Io,4.0,2.0
2017-08,Io,5.0,4.0
2017-09,Io,1.0,1.0
2017-10,Io,3.0,2.0
2017-11,Io,9.0,4.0
2017-07,Isabelle,17.0,6.0
2017-08,Isabelle,9.0,4.0
2017-09,Isabelle,3.0,1.0
2017-10,Isabelle,5.0,1.0
2017-11,Isabelle,13.0,6.0
2017-09,Jasmin,1.0,1.0
2017-07,Java,76047.0,17564.0
2017-08,Java,75750.0,17303.0
2017-09,Java,77918.0,18524.0
2017-10,Java,105959.0,23788.0
2017-11,Java,106142.0,23597.0
2017-07,JavaScript,173675.0,34154.0
2017-08,JavaScript,185346.0,35124.0
2017-09,JavaScript,180848.0,35549.0
2017-10,JavaScript,222862.0,42568.0
2017-11,JavaScript,208664.0,40520.0
2017-07,Jolie,6.0,1.0
2017-08,Jolie,4.0,2.0
2017-11,Jolie,3.0,2.0
2017-07,Julia,2189.0,264.0
2017-08,Julia,2531.0,286.0
2017-09,Julia,1981.0,259.0
2017-10,Julia,1925.0,275.0
2017-11,Julia,2380.0,308.0
2017-07,Jupyter Notebook,3847.0,1309.0
2017-08,Jupyter Notebook,3749.0,1288.0
2017-09,Jupyter Notebook,4310.0,1526.0
2017-10,Jupyter Notebook,5800.0,2082.0
2017-11,Jupyter Notebook,6166.0,2009.0
2017-07,KiCad,256.0,70.0
2017-08,KiCad,99.0,55.0
2017-09,KiCad,16.0,12.0
2017-10,KiCad,9.0,9.0
2017-11,KiCad,12.0,12.0
2017-07,Kotlin,2188.0,580.0
2017-08,Kotlin,2608.0,617.0
2017-09,Kotlin,2837.0,636.0
2017-10,Kotlin,3642.0,884.0
2017-11,Kotlin,3883.0,984.0
2017-07,LLVM,21.0,13.0
2017-08,LLVM,32.0,14.0
2017-09,LLVM,32.0,17.0
2017-10,LLVM,86.0,22.0
2017-11,LLVM,34.0,17.0
2017-07,LOLCODE,9.0,4.0
2017-08,LOLCODE,1.0,1.0
2017-09,LOLCODE,5.0,3.0
2017-07,LSL,1.0,1.0
2017-08,LSL,20.0,6.0
2017-09,LSL,17.0,5.0
2017-10,LSL,16.0,4.0
2017-11,LSL,23.0,8.0
2017-07,LabVIEW,35.0,13.0
2017-08,LabVIEW,34.0,15.0
2017-09,LabVIEW,92.0,16.0
2017-10,LabVIEW,30.0,9.0
2017-11,LabVIEW,15.0,6.0
2017-07,Lasso,1.0,1.0
2017-08,Lasso,1.0,1.0
2017-10,Lasso,8.0,2.0
2017-11,Lasso,22.0,1.0
2017-07,Lean,36.0,8.0
2017-08,Lean,11.0,4.0
2017-09,Lean,9.0,7.0
2017-10,Lean,13.0,7.0
2017-11,Lean,4.0,3.0
2017-07,Lex,3.0,3.0
2017-08,Lex,2.0,2.0
2017-09,Lex,7.0,5.0
2017-10,Lex,14.0,11.0
2017-11,Lex,20.0,6.0
2017-07,LilyPond,25.0,5.0
2017-08,LilyPond,7.0,2.0
2017-09,LilyPond,1.0,1.0
2017-10,LilyPond,23.0,5.0
2017-11,LilyPond,33.0,9.0
2017-07,Limbo,1.0,1.0
2017-09,Limbo,2.0,2.0
2017-10,Limbo,2.0,2.0
2017-11,Limbo,3.0,2.0
2017-07,Liquid,77.0,29.0
2017-08,Liquid,118.0,30.0
2017-09,Liquid,208.0,35.0
2017-10,Liquid,141.0,31.0
2017-11,Liquid,216.0,35.0
2017-07,LiveScript,68.0,14.0
2017-08,LiveScript,20.0,7.0
2017-09,LiveScript,54.0,16.0
2017-10,LiveScript,36.0,9.0
2017-11,LiveScript,20.0,10.0
2017-07,Logos,202.0,34.0
2017-08,Logos,173.0,31.0
2017-09,Logos,118.0,34.0
2017-10,Logos,135.0,31.0
2017-11,Logos,168.0,31.0
2017-07,Logtalk,1.0,1.0
2017-08,Logtalk,10.0,2.0
2017-09,Logtalk,6.0,2.0
2017-10,Logtalk,1.0,1.0
2017-07,LookML,34.0,12.0
2017-08,LookML,47.0,6.0
2017-09,LookML,34.0,10.0
2017-10,LookML,47.0,12.0
2017-11,LookML,38.0,11.0
2017-09,LoomScript,3.0,1.0
2017-10,LoomScript,2.0,1.0
2017-07,Lua,2847.0,731.0
2017-08,Lua,3336.0,790.0
2017-09,Lua,3045.0,729.0
2017-10,Lua,2884.0,761.0
2017-11,Lua,3044.0,737.0
2017-07,M,9.0,2.0
2017-08,M,29.0,12.0
2017-09,M,18.0,9.0
2017-10,M,15.0,9.0
2017-11,M,32.0,9.0
2017-07,M4,61.0,24.0
2017-08,M4,58.0,27.0
2017-09,M4,44.0,26.0
2017-10,M4,80.0,29.0
2017-11,M4,62.0,27.0
2017-07,MAXScript,204.0,3.0
2017-08,MAXScript,20.0,4.0
2017-09,MAXScript,95.0,8.0
2017-10,MAXScript,225.0,10.0
2017-11,MAXScript,160.0,5.0
2017-07,MQL4,2.0,2.0
2017-08,MQL4,1.0,1.0
2017-09,MQL4,2.0,2.0
2017-10,MQL4,2.0,1.0
2017-11,MQL4,1.0,1.0
2017-07,MQL5,24.0,4.0
2017-09,MQL5,6.0,3.0
2017-07,Makefile,2378.0,795.0
2017-08,Makefile,2353.0,824.0
2017-09,Makefile,2275.0,785.0
2017-10,Makefile,2874.0,916.0
2017-11,Makefile,2552.0,849.0
2017-07,Mako,17.0,5.0
2017-08,Mako,7.0,3.0
2017-09,Mako,8.0,2.0
2017-10,Mako,17.0,6.0
2017-11,Mako,7.0,4.0
2017-07,Mask,1.0,1.0
2017-08,Mask,5.0,2.0
2017-09,Mask,5.0,3.0
2017-10,Mask,12.0,3.0
2017-11,Mask,1.0,1.0
2017-07,Mathematica,145.0,37.0
2017-08,Mathematica,181.0,48.0
2017-09,Mathematica,109.0,40.0
2017-10,Mathematica,170.0,39.0
2017-11,Mathematica,423.0,73.0
2017-07,Matlab,983.0,365.0
2017-08,Matlab,914.0,358.0
2017-09,Matlab,898.0,370.0
2017-10,Matlab,1134.0,447.0
2017-11,Matlab,1284.0,490.0
2017-07,Max,13.0,10.0
2017-08,Max,8.0,6.0
2017-09,Max,15.0,8.0
2017-10,Max,2.0,1.0
2017-11,Max,8.0,6.0
2017-08,Mercury,1.0,1.0
2017-09,Mercury,2.0,2.0
2017-10,Mercury,5.0,3.0
2017-11,Mercury,16.0,4.0
2017-07,Meson,4.0,2.0
2017-09,Meson,1.0,1.0
2017-10,Meson,2.0,2.0
2017-08,Metal,1.0,1.0
2017-11,Metal,2.0,1.0
2017-07,Modelica,128.0,26.0
2017-08,Modelica,92.0,21.0
2017-09,Modelica,185.0,26.0
2017-10,Modelica,299.0,38.0
2017-11,Modelica,229.0,26.0
2017-08,Modula-2,1.0,1.0
2017-11,Monkey,4.0,2.0
2017-07,MoonScript,33.0,10.0
2017-08,MoonScript,8.0,6.0
2017-09,MoonScript,4.0,4.0
2017-10,MoonScript,22.0,11.0
2017-11,MoonScript,9.0,5.0
2017-07,NCL,3.0,2.0
2017-08,NCL,5.0,3.0
2017-09,NCL,16.0,3.0
2017-10,NCL,31.0,6.0
2017-11,NCL,17.0,2.0
2017-07,NSIS,148.0,25.0
2017-08,NSIS,114.0,28.0
2017-09,NSIS,78.0,27.0
2017-10,NSIS,61.0,22.0
2017-11,NSIS,68.0,26.0
2017-08,Nemerle,1.0,1.0
2017-07,NetLogo,15.0,5.0
2017-08,NetLogo,9.0,4.0
2017-09,NetLogo,5.0,4.0
2017-10,NetLogo,24.0,7.0
2017-11,NetLogo,32.0,13.0
2017-07,NewLisp,3.0,2.0
2017-09,NewLisp,3.0,3.0
2017-10,NewLisp,8.0,1.0
2017-11,NewLisp,4.0,2.0
2017-07,Nginx,131.0,90.0
2017-08,Nginx,161.0,90.0
2017-09,Nginx,153.0,90.0
2017-10,Nginx,99.0,74.0
2017-11,Nginx,45.0,39.0
2017-07,Nim,130.0,31.0
2017-08,Nim,133.0,34.0
2017-09,Nim,180.0,29.0
2017-10,Nim,190.0,36.0
2017-11,Nim,200.0,40.0
2017-07,Nimrod,7.0,7.0
2017-08,Nimrod,5.0,4.0
2017-09,Nimrod,1.0,1.0
2017-10,Nimrod,5.0,4.0
2017-11,Nimrod,2.0,2.0
2017-07,Nix,785.0,100.0
2017-08,Nix,1026.0,109.0
2017-09,Nix,1032.0,117.0
2017-10,Nix,932.0,123.0
2017-11,Nix,1087.0,127.0
2017-07,OCaml,1377.0,206.0
2017-08,OCaml,1213.0,188.0
2017-09,OCaml,993.0,192.0
2017-10,OCaml,1262.0,218.0
2017-11,OCaml,1374.0,247.0
2017-07,Objective-C,4889.0,1473.0
2017-08,Objective-C,5146.0,1517.0
2017-09,Objective-C,4586.0,1488.0
2017-10,Objective-C,5331.0,1646.0
2017-11,Objective-C,5200.0,1636.0
2017-07,Objective-C++,75.0,24.0
2017-08,Objective-C++,61.0,27.0
2017-09,Objective-C++,42.0,27.0
2017-10,Objective-C++,63.0,22.0
2017-11,Objective-C++,71.0,25.0
2017-07,Objective-J,8.0,4.0
2017-08,Objective-J,11.0,5.0
2017-09,Objective-J,38.0,9.0
2017-10,Objective-J,30.0,8.0
2017-11,Objective-J,14.0,8.0
2017-07,OpenEdge ABL,42.0,20.0
2017-08,OpenEdge ABL,18.0,10.0
2017-09,OpenEdge ABL,41.0,14.0
2017-10,OpenEdge ABL,43.0,21.0
2017-11,OpenEdge ABL,48.0,18.0
2017-07,OpenSCAD,25.0,11.0
2017-08,OpenSCAD,22.0,9.0
