language,cohort,number_prs,actor.display_login
C,2017-08,18877,5344
C,2017-09,18999,5584
C,2017-10,24284,6799
C,2017-11,22893,6429
C#,2017-07,25421,5915
C#,2017-08,26988,6226
C#,2017-09,27052,6601
C#,2017-10,34032,7832
C#,2017-11,33330,7800
C++,2017-07,35184,8234
C++,2017-08,35423,8151
C++,2017-09,33935,8450
C++,2017-10,45800,10197
C++,2017-11,42373,9966
CLIPS,2017-08,1,1
CLIPS,2017-09,11,5
CLIPS,2017-10,4,4
CLIPS,2017-11,6,4
CMake,2017-07,715,225
CMake,2017-08,722,237
CMake,2017-09,898,312
CMake,2017-10,1117,385
CMake,2017-11,896,326
COBOL,2017-07,6,4
COBOL,2017-08,7,5
COBOL,2017-09,9,5
COBOL,2017-10,55,15
COBOL,2017-11,32,7
CSS,2017-07,26008,7648
CSS,2017-08,27921,8079
CSS,2017-09,27105,7936
CSS,2017-10,33211,9865
CSS,2017-11,32025,9111
CWeb,2017-10,1,1
CWeb,2017-11,2,2
CartoCSS,2017-07,26,6
CartoCSS,2017-08,53,9
CartoCSS,2017-09,51,7
CartoCSS,2017-10,29,9
CartoCSS,2017-11,24,7
Ceylon,2017-07,9,4
Ceylon,2017-08,11,6
Ceylon,2017-09,13,5
Ceylon,2017-10,6,4
Ceylon,2017-11,12,5
Chapel,2017-07,246,18
Chapel,2017-08,251,20
Chapel,2017-09,276,16
Chapel,2017-10,135,15
Chapel,2017-11,129,13
ChucK,2017-07,2,1
Cirru,2017-08,4,3
Clean,2017-07,8,3
Clean,2017-08,2,1
Clean,2017-09,3,2
Clean,2017-10,2,2
Clean,2017-11,1,1
Clojure,2017-07,1410,427
Clojure,2017-08,1340,404
Clojure,2017-09,1467,448
Clojure,2017-10,1948,488
Clojure,2017-11,1467,407
CoffeeScript,2017-07,2017,539
CoffeeScript,2017-08,1866,540
CoffeeScript,2017-09,1970,519
CoffeeScript,2017-10,2153,596
CoffeeScript,2017-11,2196,528
ColdFusion,2017-07,122,29
ColdFusion,2017-08,189,29
ColdFusion,2017-09,203,23
ColdFusion,2017-10,324,37
ColdFusion,2017-11,205,33
Common Lisp,2017-07,465,75
Common Lisp,2017-08,252,67
Common Lisp,2017-09,196,78
Common Lisp,2017-10,225,89
Common Lisp,2017-11,217,82
Component Pascal,2017-07,7,5
Component Pascal,2017-08,6,4
Component Pascal,2017-09,1,1
Component Pascal,2017-10,13,4
Component Pascal,2017-11,1,1
Cool,2017-10,1,1
Coq,2017-07,90,36
Coq,2017-08,84,26
Coq,2017-09,62,31
Coq,2017-10,108,40
Coq,2017-11,87,30
Crystal,2017-07,215,70
Crystal,2017-08,282,67
Crystal,2017-09,369,68
Crystal,2017-10,378,74
Crystal,2017-11,403,69
Csound,2017-11,1,1
Csound Document,2017-10,1,1
Csound Document,2017-11,1,1
Cucumber,2017-07,4,4
Cucumber,2017-08,2,2
Cucumber,2017-09,4,3
Cucumber,2017-11,1,1
Cuda,2017-07,41,27
Cuda,2017-08,54,21
Cuda,2017-09,60,29
Cuda,2017-10,72,45
Cuda,2017-11,81,37
D,2017-07,783,93
D,2017-08,535,94
D,2017-09,452,86
D,2017-10,565,91
D,2017-11,626,102
DIGITAL Command Language,2017-07,105,18
DIGITAL Command Language,2017-08,49,18
DIGITAL Command Language,2017-09,63,13
DIGITAL Command Language,2017-10,66,18
DIGITAL Command Language,2017-11,62,15
DM,2017-07,3190,217
DM,2017-08,3124,234
DM,2017-09,3264,238
DM,2017-10,4024,242
DM,2017-11,3328,246
DOT,2017-09,1,1
DTrace,2017-07,8,5
DTrace,2017-08,10,5
DTrace,2017-09,9,3
DTrace,2017-10,4,2
DTrace,2017-11,16,8
Dart,2017-07,878,135
Dart,2017-08,777,123
Dart,2017-09,861,141
Dart,2017-10,1013,164
Dart,2017-11,900,129
DataWeave,2017-11,1,1
Delphi,2017-08,1,1
Diff,2017-08,2,2
Diff,2017-10,1,1
Dylan,2017-11,2,2
E,2017-09,3,1
E,2017-10,8,3
E,2017-11,1,1
ECL,2017-07,5,1
ECL,2017-08,6,2
ECL,2017-09,2,1
ECL,2017-10,1,1
EQ,2017-07,6,1
EQ,2017-09,1,1
EQ,2017-10,1,1
EQ,2017-11,3,1
Eagle,2017-07,189,79
Eagle,2017-08,167,85
Eagle,2017-09,176,63
Eagle,2017-10,105,63
Eagle,2017-11,27,21
Eiffel,2017-07,13,7
Eiffel,2017-08,13,5
Eiffel,2017-09,21,6
Eiffel,2017-10,30,8
Eiffel,2017-11,20,9
Elixir,2017-07,2437,593
Elixir,2017-08,2472,620
Elixir,2017-09,2275,604
Elixir,2017-10,3053,673
Elixir,2017-11,2275,589
Elm,2017-07,475,142
Elm,2017-08,358,129
Elm,2017-09,314,117
Elm,2017-10,439,157
Elm,2017-11,348,134
Emacs Lisp,2017-07,880,295
Emacs Lisp,2017-08,768,268
Emacs Lisp,2017-09,673,276
Emacs Lisp,2017-10,931,304
Emacs Lisp,2017-11,828,286
EmberScript,2017-07,15,4
EmberScript,2017-08,17,3
EmberScript,2017-09,18,5
EmberScript,2017-10,41,5
EmberScript,2017-11,17,6
Erlang,2017-07,1067,230
Erlang,2017-08,961,238
Erlang,2017-09,806,181
Erlang,2017-10,853,202
Erlang,2017-11,1027,220
F#,2017-07,473,93
F#,2017-08,461,103
F#,2017-09,489,107
F#,2017-10,685,126
F#,2017-11,565,121
FLUX,2017-07,3,1
FLUX,2017-09,1,1
FLUX,2017-11,1,1
FORTRAN,2017-07,14,9
FORTRAN,2017-08,18,13
FORTRAN,2017-09,16,13
FORTRAN,2017-10,33,14
FORTRAN,2017-11,16,11
Factor,2017-07,6,2
Factor,2017-08,5,3
Factor,2017-09,2,1
Factor,2017-10,6,2
Factor,2017-11,2,2
Forth,2017-07,4,4
Forth,2017-08,9,5
Forth,2017-09,21,6
Forth,2017-10,19,7
Forth,2017-11,16,10
Fortran,2017-07,612,178
Fortran,2017-08,546,169
Fortran,2017-09,762,183
Fortran,2017-10,660,185
Fortran,2017-11,615,197
FreeMarker,2017-07,160,24
FreeMarker,2017-08,211,34
FreeMarker,2017-09,186,29
FreeMarker,2017-10,194,41
FreeMarker,2017-11,150,36
GAMS,2017-07,1,1
GAMS,2017-08,34,4
GAMS,2017-09,1,1
GAMS,2017-10,20,2
GAP,2017-07,105,14
GAP,2017-08,132,17
GAP,2017-09,139,22
GAP,2017-10,114,16
GAP,2017-11,164,17
GCC Machine Description,2017-07,36,32
GCC Machine Description,2017-08,34,21
GCC Machine Description,2017-09,18,18
GCC Machine Description,2017-10,45,40
GCC Machine Description,2017-11,27,26
GDB,2017-07,5,1
GDB,2017-08,2,1
GDScript,2017-07,51,18
GDScript,2017-08,74,30
GDScript,2017-09,34,19
GDScript,2017-10,86,34
GDScript,2017-11,121,40
GLSL,2017-07,32,20
GLSL,2017-08,77,19
GLSL,2017-09,46,19
GLSL,2017-10,70,31
GLSL,2017-11,76,36
Game Maker Language,2017-07,14,9
Game Maker Language,2017-08,16,9
Game Maker Language,2017-09,24,10
Game Maker Language,2017-10,38,18
Game Maker Language,2017-11,12,8
Genshi,2017-09,1,1
Gherkin,2017-07,170,56
Gherkin,2017-08,260,61
Gherkin,2017-09,248,67
Gherkin,2017-10,286,78
Gherkin,2017-11,168,64
Glyph,2017-08,1,1
Gnuplot,2017-07,41,8
Gnuplot,2017-08,38,9
Gnuplot,2017-09,33,9
Gnuplot,2017-10,51,12
Gnuplot,2017-11,44,11
Go,2017-07,25520,4844
Go,2017-08,29838,5224
Go,2017-09,27286,5074
Go,2017-10,31475,5824
Go,2017-11,31374,5725
Gosu,2017-07,131,20
Gosu,2017-08,68,12
Gosu,2017-09,41,11
Gosu,2017-10,43,7
Gosu,2017-11,65,12
Grammatical Framework,2017-07,3,1
Grammatical Framework,2017-08,12,6
Grammatical Framework,2017-10,3,2
Grammatical Framework,2017-11,1,1
Groff,2017-07,12,9
Groff,2017-08,1,1
Groff,2017-09,6,6
Groff,2017-10,6,5
Groff,2017-11,5,5
Groovy,2017-07,2039,542
Groovy,2017-08,2205,536
Groovy,2017-09,2283,539
Groovy,2017-10,2542,587
Groovy,2017-11,2278,626
HCL,2017-07,821,234
HCL,2017-08,1417,288
HCL,2017-09,1416,303
HCL,2017-10,1271,329
HCL,2017-11,1303,313
HLSL,2017-07,1,1
HLSL,2017-08,10,8
HLSL,2017-09,2,1
HLSL,2017-10,41,3
HLSL,2017-11,20,9
HTML,2017-07,54021,14654
HTML,2017-08,61478,15665
HTML,2017-09,59904,16312
HTML,2017-10,75314,19807
HTML,2017-11,70612,18471
Hack,2017-07,8,7
Hack,2017-08,40,9
Hack,2017-09,27,9
Hack,2017-10,34,10
Hack,2017-11,20,10
Handlebars,2017-08,1,1
Harbour,2017-07,17,3
Harbour,2017-08,14,8
Harbour,2017-09,10,3
Harbour,2017-10,16,5
Harbour,2017-11,11,2
Haskell,2017-07,2112,521
Haskell,2017-08,2198,536
Haskell,2017-09,1923,525
Haskell,2017-10,2168,569
Haskell,2017-11,2120,550
Haxe,2017-07,177,53
Haxe,2017-08,191,57
Haxe,2017-09,212,63
Haxe,2017-10,308,67
Haxe,2017-11,237,60
Hy,2017-07,1,1
Hy,2017-08,1,1
HyPhy,2017-07,1,1
HyPhy,2017-08,5,1
HyPhy,2017-09,19,3
HyPhy,2017-10,13,1
HyPhy,2017-11,17,4
IDL,2017-07,10,8
IDL,2017-08,14,6
IDL,2017-09,22,10
IDL,2017-10,8,8
IDL,2017-11,20,12
IGOR Pro,2017-08,4,2
IGOR Pro,2017-09,16,2
IGOR Pro,2017-10,4,3
IGOR Pro,2017-11,1,1
Idris,2017-07,40,12
Idris,2017-08,27,11
Idris,2017-09,9,5
Idris,2017-10,15,10
Idris,2017-11,7,6
Inform 7,2017-07,3,2
Inform 7,2017-08,25,5
Inform 7,2017-09,49,8
Inform 7,2017-10,76,9
Inform 7,2017-11,75,11
Inno Setup,2017-07,8,6
Inno Setup,2017-08,12,10
Inno Setup,2017-09,5,4
Inno Setup,2017-10,17,8
Inno Setup,2017-11,18,7
Io,2017-07,4,2
Io,2017-08,5,4
Io,2017-09,1,1
Io,2017-10,3,2
Io,2017-11,9,4
Isabelle,2017-07,17,6
Isabelle,2017-08,9,4
Isabelle,2017-09,3,1
Isabelle,2017-10,5,1
Isabelle,2017-11,13,6
Jasmin,2017-09,1,1
Java,2017-07,76047,17564
Java,2017-08,75750,17303
Java,2017-09,77918,18524
Java,2017-10,105959,23788
Java,2017-11,106142,23597
JavaScript,2017-07,173675,34154
JavaScript,2017-08,185346,35124
JavaScript,2017-09,180848,35549
JavaScript,2017-10,222862,42568
JavaScript,2017-11,208664,40520
Jolie,2017-07,6,1
Jolie,2017-08,4,2
Jolie,2017-11,3,2
Julia,2017-07,2189,264
Julia,2017-08,2531,286
Julia,2017-09,1981,259
Julia,2017-10,1925,275
Julia,2017-11,2380,308
Jupyter Notebook,2017-07,3847,1309
Jupyter Notebook,2017-08,3749,1288
Jupyter Notebook,2017-09,4310,1526
Jupyter Notebook,2017-10,5800,2082
Jupyter Notebook,2017-11,6166,2009
KiCad,2017-07,256,70
KiCad,2017-08,99,55
KiCad,2017-09,16,12
KiCad,2017-10,9,9
KiCad,2017-11,12,12
Kotlin,2017-07,2188,580
Kotlin,2017-08,2608,617
Kotlin,2017-09,2837,636
Kotlin,2017-10,3642,884
Kotlin,2017-11,3883,984
LLVM,2017-07,21,13
LLVM,2017-08,32,14
LLVM,2017-09,32,17
LLVM,2017-10,86,22
LLVM,2017-11,34,17
LOLCODE,2017-07,9,4
LOLCODE,2017-08,1,1
LOLCODE,2017-09,5,3
LSL,2017-07,1,1
LSL,2017-08,20,6
LSL,2017-09,17,5
LSL,2017-10,16,4
LSL,2017-11,23,8
LabVIEW,2017-07,35,13
LabVIEW,2017-08,34,15
LabVIEW,2017-09,92,16
LabVIEW,2017-10,30,9
LabVIEW,2017-11,15,6
Lasso,2017-07,1,1
Lasso,2017-08,1,1
Lasso,2017-10,8,2
Lasso,2017-11,22,1
Lean,2017-07,36,8
Lean,2017-08,11,4
Lean,2017-09,9,7
Lean,2017-10,13,7
Lean,2017-11,4,3
Lex,2017-07,3,3
Lex,2017-08,2,2
Lex,2017-09,7,5
Lex,2017-10,14,11
Lex,2017-11,20,6
LilyPond,2017-07,25,5
LilyPond,2017-08,7,2
LilyPond,2017-09,1,1
LilyPond,2017-10,23,5
LilyPond,2017-11,33,9
Limbo,2017-07,1,1
Limbo,2017-09,2,2
Limbo,2017-10,2,2
Limbo,2017-11,3,2
Liquid,2017-07,77,29
Liquid,2017-08,118,30
Liquid,2017-09,208,35
Liquid,2017-10,141,31
Liquid,2017-11,216,35
LiveScript,2017-07,68,14
LiveScript,2017-08,20,7
LiveScript,2017-09,54,16
LiveScript,2017-10,36,9
LiveScript,2017-11,20,10
Logos,2017-07,202,34
Logos,2017-08,173,31
Logos,2017-09,118,34
Logos,2017-10,135,31
Logos,2017-11,168,31
Logtalk,2017-07,1,1
Logtalk,2017-08,10,2
Logtalk,2017-09,6,2
Logtalk,2017-10,1,1
LookML,2017-07,34,12
LookML,2017-08,47,6
LookML,2017-09,34,10
LookML,2017-10,47,12
LookML,2017-11,38,11
LoomScript,2017-09,3,1
LoomScript,2017-10,2,1
Lua,2017-07,2847,731
Lua,2017-08,3336,790
Lua,2017-09,3045,729
Lua,2017-10,2884,761
Lua,2017-11,3044,737
M,2017-07,9,2
M,2017-08,29,12
M,2017-09,18,9
M,2017-10,15,9
M,2017-11,32,9
M4,2017-07,61,24
M4,2017-08,58,27
M4,2017-09,44,26
M4,2017-10,80,29
M4,2017-11,62,27
MAXScript,2017-07,204,3
MAXScript,2017-08,20,4
MAXScript,2017-09,95,8
MAXScript,2017-10,225,10
MAXScript,2017-11,160,5
MQL4,2017-07,2,2
MQL4,2017-08,1,1
MQL4,2017-09,2,2
MQL4,2017-10,2,1
MQL4,2017-11,1,1
MQL5,2017-07,24,4
MQL5,2017-09,6,3
Makefile,2017-07,2378,795
Makefile,2017-08,2353,824
Makefile,2017-09,2275,785
Makefile,2017-10,2874,916
Makefile,2017-11,2552,849
Mako,2017-07,17,5
Mako,2017-08,7,3
Mako,2017-09,8,2
Mako,2017-10,17,6
Mako,2017-11,7,4
Mask,2017-07,1,1
Mask,2017-08,5,2
Mask,2017-09,5,3
Mask,2017-10,12,3
Mask,2017-11,1,1
Mathematica,2017-07,145,37
Mathematica,2017-08,181,48
Mathematica,2017-09,109,40
Mathematica,2017-10,170,39
Mathematica,2017-11,423,73
Matlab,2017-07,983,365
Matlab,2017-08,914,358
Matlab,2017-09,898,370
Matlab,2017-10,1134,447
Matlab,2017-11,1284,490
Max,2017-07,13,10
Max,2017-08,8,6
Max,2017-09,15,8
Max,2017-10,2,1
Max,2017-11,8,6
Mercury,2017-08,1,1
Mercury,2017-09,2,2
Mercury,2017-10,5,3
Mercury,2017-11,16,4
Meson,2017-07,4,2
Meson,2017-09,1,1
Meson,2017-10,2,2
Metal,2017-08,1,1
Metal,2017-11,2,1
Modelica,2017-07,128,26
Modelica,2017-08,92,21
Modelica,2017-09,185,26
Modelica,2017-10,299,38
Modelica,2017-11,229,26
Modula-2,2017-08,1,1
Monkey,2017-11,4,2
MoonScript,2017-07,33,10
MoonScript,2017-08,8,6
MoonScript,2017-09,4,4
MoonScript,2017-10,22,11
MoonScript,2017-11,9,5
NCL,2017-07,3,2
NCL,2017-08,5,3
NCL,2017-09,16,3
NCL,2017-10,31,6
NCL,2017-11,17,2
NSIS,2017-07,148,25
NSIS,2017-08,114,28
NSIS,2017-09,78,27
NSIS,2017-10,61,22
NSIS,2017-11,68,26
Nemerle,2017-08,1,1
NetLogo,2017-07,15,5
NetLogo,2017-08,9,4
NetLogo,2017-09,5,4
NetLogo,2017-10,24,7
NetLogo,2017-11,32,13
NewLisp,2017-07,3,2
NewLisp,2017-09,3,3
NewLisp,2017-10,8,1
NewLisp,2017-11,4,2
Nginx,2017-07,131,90
Nginx,2017-08,161,90
Nginx,2017-09,153,90
Nginx,2017-10,99,74
Nginx,2017-11,45,39
Nim,2017-07,130,31
Nim,2017-08,133,34
Nim,2017-09,180,29
Nim,2017-10,190,36
Nim,2017-11,200,40
Nimrod,2017-07,7,7
Nimrod,2017-08,5,4
Nimrod,2017-09,1,1
Nimrod,2017-10,5,4
Nimrod,2017-11,2,2
Nix,2017-07,785,100
Nix,2017-08,1026,109
Nix,2017-09,1032,117
Nix,2017-10,932,123
Nix,2017-11,1087,127
OCaml,2017-07,1377,206
OCaml,2017-08,1213,188
OCaml,2017-09,993,192
OCaml,2017-10,1262,218
OCaml,2017-11,1374,247
Objective-C,2017-07,4889,1473
Objective-C,2017-08,5146,1517
Objective-C,2017-09,4586,1488
Objective-C,2017-10,5331,1646
Objective-C,2017-11,5200,1636
Objective-C++,2017-07,75,24
Objective-C++,2017-08,61,27
Objective-C++,2017-09,42,27
Objective-C++,2017-10,63,22
Objective-C++,2017-11,71,25
Objective-J,2017-07,8,4
Objective-J,2017-08,11,5
Objective-J,2017-09,38,9
Objective-J,2017-10,30,8
Objective-J,2017-11,14,8
OpenEdge ABL,2017-07,42,20
OpenEdge ABL,2017-08,18,10
OpenEdge ABL,2017-09,41,14
OpenEdge ABL,2017-10,43,21
OpenEdge ABL,2017-11,48,18
OpenSCAD,2017-07,25,11
OpenSCAD,2017-08,22,9
OpenSCAD,2017-09,22,14
OpenSCAD,2017-10,39,21
OpenSCAD,2017-11,30,20
Ox,2017-07,1,1
Oz,2017-07,1,1
Oz,2017-11,1,1
P4,2017-07,28,6
P4,2017-08,45,9
P4,2017-09,49,10
P4,2017-10,39,11
P4,2017-11,98,13
PAWN,2017-07,13,5
PAWN,2017-08,18,6
PAWN,2017-09,9,5
PAWN,2017-10,5,5
PAWN,2017-11,3,2
PHP,2017-07,45022,9842
PHP,2017-08,45936,10111
PHP,2017-09,47564,10257
PHP,2017-10,56123,11920
PHP,2017-11,53432,11340
PLSQL,2017-07,302,61
PLSQL,2017-08,205,51
PLSQL,2017-09,245,64
PLSQL,2017-10,305,80
PLSQL,2017-11,316,106
PLpgSQL,2017-07,545,130
PLpgSQL,2017-08,766,172
PLpgSQL,2017-09,759,137
PLpgSQL,2017-10,733,186
PLpgSQL,2017-11,647,183
POV-Ray SDL,2017-07,6,3
POV-Ray SDL,2017-08,11,8
POV-Ray SDL,2017-09,16,8
POV-Ray SDL,2017-10,26,10
POV-Ray SDL,2017-11,1,1
Pan,2017-07,8,2
Pan,2017-08,3,2
Pan,2017-09,5,3
Pan,2017-10,3,2
Pan,2017-11,5,4
Papyrus,2017-07,3,3
Papyrus,2017-08,1,1
Papyrus,2017-09,2,2
Papyrus,2017-10,5,3
Papyrus,2017-11,3,1
Parrot,2017-07,20,1
Parrot,2017-08,2,1
Parrot,2017-10,2,1
Parrot,2017-11,4,1
Pascal,2017-07,210,85
Pascal,2017-08,227,100
Pascal,2017-09,174,78
Pascal,2017-10,282,103
Pascal,2017-11,274,103
Pep8,2017-09,2,1
Perl,2017-07,2444,755
Perl,2017-08,2471,725
Perl,2017-09,2347,720
Perl,2017-10,2934,795
Perl,2017-11,2631,761
Perl 6,2017-07,41,16
Perl 6,2017-08,171,50
Perl 6,2017-09,219,50
Perl 6,2017-10,214,59
Perl 6,2017-11,154,49
Perl6,2017-07,140,55
Perl6,2017-08,36,29
Perl6,2017-09,23,20
Perl6,2017-10,24,20
Perl6,2017-11,12,12
PicoLisp,2017-07,2,1
PicoLisp,2017-08,1,1
PicoLisp,2017-10,1,1
PicoLisp,2017-11,2,2
PigLatin,2017-10,3,2
Pony,2017-07,19,9
Pony,2017-08,19,7
Pony,2017-09,102,11
Pony,2017-10,38,11
Pony,2017-11,38,7
PostScript,2017-07,191,54
PostScript,2017-08,223,45
PostScript,2017-09,173,38
PostScript,2017-10,205,58
PostScript,2017-11,218,58
PowerBuilder,2017-07,71,2
PowerBuilder,2017-08,65,2
PowerBuilder,2017-09,6,1
PowerShell,2017-07,8344,612
PowerShell,2017-08,7568,700
PowerShell,2017-09,6237,721
PowerShell,2017-10,6621,818
PowerShell,2017-11,8641,812
Processing,2017-07,189,66
Processing,2017-08,156,33
Processing,2017-09,149,58
Processing,2017-10,243,74
Processing,2017-11,236,86
Prolog,2017-07,28,16
Prolog,2017-08,35,18
Prolog,2017-09,52,22
Prolog,2017-10,131,66
Prolog,2017-11,119,52
Propeller Spin,2017-09,10,1
Propeller Spin,2017-10,3,1
Protocol Buffer,2017-07,162,65
Protocol Buffer,2017-08,379,101
Protocol Buffer,2017-09,215,93
Protocol Buffer,2017-10,156,73
Protocol Buffer,2017-11,23,19
Puppet,2017-07,638,224
Puppet,2017-08,752,223
Puppet,2017-09,818,230
Puppet,2017-10,909,249
Puppet,2017-11,720,222
Pure Data,2017-07,14,7
Pure Data,2017-08,3,3
Pure Data,2017-09,21,6
Pure Data,2017-10,3,3
Pure Data,2017-11,1,1
PureBasic,2017-07,13,5
PureBasic,2017-08,11,2
PureBasic,2017-09,9,4
PureBasic,2017-10,4,4
PureBasic,2017-11,16,11
PureScript,2017-07,267,51
PureScript,2017-08,248,68
PureScript,2017-09,183,47
PureScript,2017-10,194,55
PureScript,2017-11,150,50
Python,2017-07,86787,19656
Python,2017-08,90968,20171
Python,2017-09,91937,20628
Python,2017-10,112610,25014
Python,2017-11,104963,23975
QML,2017-07,201,70
QML,2017-08,218,83
QML,2017-09,219,79
QML,2017-10,246,79
QML,2017-11,238,80
QMake,2017-07,13,9
QMake,2017-08,13,11
QMake,2017-09,7,5
QMake,2017-10,24,16
QMake,2017-11,20,13
R,2017-07,3124,1074
R,2017-08,3096,966
R,2017-09,3048,960
R,2017-10,3350,1145
R,2017-11,3154,1145
RAML,2017-07,46,23
RAML,2017-08,86,24
RAML,2017-09,56,32
RAML,2017-10,55,28
RAML,2017-11,94,38
REALbasic,2017-07,2,1
REALbasic,2017-11,2,2
REXX,2017-11,11,2
Racket,2017-07,173,40
Racket,2017-08,122,40
Racket,2017-09,173,44
Racket,2017-10,150,47
Racket,2017-11,141,59
Ragel,2017-07,2,2
Ragel,2017-08,14,4
Ragel,2017-09,12,3
Ragel,2017-10,11,4
Ragel,2017-11,1,1
Ragel in Ruby Host,2017-09,1,1
Rascal,2017-07,19,9
Rascal,2017-08,17,8
Rascal,2017-09,7,5
Rascal,2017-10,16,7
Rascal,2017-11,18,6
Rebol,2017-07,7,6
Rebol,2017-08,1,1
Rebol,2017-09,18,7
Rebol,2017-10,7,6
Rebol,2017-11,3,2
Red,2017-07,7,5
Red,2017-08,17,7
Red,2017-09,33,8
Red,2017-10,5,4
Red,2017-11,2,2
Ren'Py,2017-07,10,5
Ren'Py,2017-08,11,4
Ren'Py,2017-09,20,8
Ren'Py,2017-10,68,16
Ren'Py,2017-11,143,22
RenderScript,2017-08,2,2
RenderScript,2017-09,1,1
RenderScript,2017-11,32,4
Ring,2017-07,10,1
Ring,2017-08,32,1
Ring,2017-09,30,2
Ring,2017-10,8,2
Ring,2017-11,5,1
RobotFramework,2017-07,32,9
RobotFramework,2017-08,41,9
RobotFramework,2017-09,84,20
RobotFramework,2017-10,108,18
RobotFramework,2017-11,39,15
Roff,2017-07,400,112
Roff,2017-08,489,107
Roff,2017-09,275,87
Roff,2017-10,246,104
Roff,2017-11,275,115
Ruby,2017-07,56390,9561
Ruby,2017-08,63462,9856
Ruby,2017-09,51770,9104
Ruby,2017-10,59297,10359
Ruby,2017-11,64337,10097
Rust,2017-07,5193,913
Rust,2017-08,5184,930
Rust,2017-09,5277,923
