language1,language2,common_actors,paradigm1,paradigm2
XSLT,OCaml,0,declarative,functional
XSLT,Matlab,0,declarative,multi
XSLT,Nix,0,declarative,declarative
XSLT,Vim script,0,declarative,scripted
XSLT,Erlang,1,declarative,functional
XSLT,Dart,0,declarative,oob
XSLT,XSLT,228,declarative,declarative
XSLT,Emacs Lisp,0,declarative,scripted
XSLT,Visual Basic,0,declarative,multi
XSLT,Arduino,0,declarative,imperative
XSLT,PLpgSQL,0,declarative,declarative
XSLT,D,0,declarative,multi
XSLT,Assembly,0,declarative,machine
XSLT,Fortran,0,declarative,imperative
XSLT,F#,0,declarative,multi
XSLT,Batchfile,0,declarative,scripted
XSLT,Mathematica,0,declarative,undefined
XSLT,Crystal,0,declarative,oob
XSLT,Apex,0,declarative,undefined
XSLT,Elm,1,declarative,declarative
XSLT,Smalltalk,1,declarative,oob
Clojure,JavaScript,33,functional,oob
Clojure,Java,20,functional,oob
Clojure,Python,16,functional,oob
Clojure,HTML,13,functional,declarative
Clojure,Ruby,22,functional,oob
Clojure,PHP,1,functional,procedural
Clojure,C++,2,functional,procedural
Clojure,C#,1,functional,oob
Clojure,TypeScript,1,functional,oob
Clojure,CSS,6,functional,declarative
Clojure,Go,6,functional,multi
Clojure,C,1,functional,imperative
Clojure,Shell,10,functional,scripted
Clojure,Swift,0,functional,multi
Clojure,Scala,17,functional,multi
Clojure,PowerShell,0,functional,scripted
Clojure,Jupyter Notebook,0,functional,oob
Clojure,Rust,4,functional,multi
Clojure,Objective-C,3,functional,oob
Clojure,Kotlin,0,functional,oob
Clojure,R,0,functional,multi
Clojure,Lua,0,functional,multi
Clojure,Perl,1,functional,multi
Clojure,Julia,1,functional,multi
Clojure,Groovy,0,functional,functional
Clojure,Elixir,2,functional,functional
Clojure,CoffeeScript,0,functional,multi
Clojure,Haskell,2,functional,functional
Clojure,Clojure,407,functional,functional
Clojure,OCaml,1,functional,functional
Clojure,Matlab,0,functional,multi
Clojure,Nix,0,functional,declarative
Clojure,Vim script,0,functional,scripted
Clojure,Erlang,2,functional,functional
Clojure,Dart,0,functional,oob
Clojure,XSLT,0,functional,declarative
Clojure,Emacs Lisp,7,functional,scripted
Clojure,Visual Basic,0,functional,multi
Clojure,Arduino,0,functional,imperative
Clojure,PLpgSQL,1,functional,declarative
Clojure,D,0,functional,multi
Clojure,Assembly,0,functional,machine
Clojure,Fortran,0,functional,imperative
Clojure,F#,0,functional,multi
Clojure,Batchfile,0,functional,scripted
Clojure,Mathematica,0,functional,undefined
Clojure,Crystal,0,functional,oob
Clojure,Apex,0,functional,undefined
Clojure,Elm,3,functional,declarative
Clojure,Smalltalk,0,functional,oob
Elixir,JavaScript,69,functional,oob
Elixir,Java,9,functional,oob
Elixir,Python,23,functional,oob
Elixir,HTML,30,functional,declarative
Elixir,Ruby,48,functional,oob
Elixir,PHP,11,functional,procedural
Elixir,C++,2,functional,procedural
Elixir,C#,10,functional,oob
Elixir,TypeScript,14,functional,oob
Elixir,CSS,30,functional,declarative
Elixir,Go,8,functional,multi
Elixir,C,7,functional,imperative
Elixir,Shell,19,functional,scripted
Elixir,Swift,2,functional,multi
Elixir,Scala,2,functional,multi
Elixir,PowerShell,1,functional,scripted
Elixir,Jupyter Notebook,0,functional,oob
Elixir,Rust,4,functional,multi
Elixir,Objective-C,2,functional,oob
Elixir,Kotlin,2,functional,oob
Elixir,R,0,functional,multi
Elixir,Lua,1,functional,multi
Elixir,Perl,1,functional,multi
Elixir,Julia,0,functional,multi
Elixir,Groovy,0,functional,functional
Elixir,Elixir,588,functional,functional
Elixir,CoffeeScript,3,functional,multi
Elixir,Haskell,3,functional,functional
Elixir,Clojure,2,functional,functional
Elixir,OCaml,2,functional,functional
Elixir,Matlab,0,functional,multi
Elixir,Nix,0,functional,declarative
Elixir,Vim script,4,functional,scripted
Elixir,Erlang,8,functional,functional
Elixir,Dart,0,functional,oob
Elixir,XSLT,0,functional,declarative
Elixir,Emacs Lisp,2,functional,scripted
Elixir,Visual Basic,0,functional,multi
Elixir,Arduino,0,functional,imperative
Elixir,PLpgSQL,0,functional,declarative
Elixir,D,0,functional,multi
Elixir,Assembly,0,functional,machine
Elixir,Fortran,0,functional,imperative
Elixir,F#,0,functional,multi
Elixir,Batchfile,0,functional,scripted
Elixir,Mathematica,0,functional,undefined
Elixir,Crystal,3,functional,oob
Elixir,Apex,0,functional,undefined
Elixir,Elm,5,functional,declarative
Elixir,Smalltalk,0,functional,oob
Erlang,JavaScript,17,functional,oob
Erlang,Java,6,functional,oob
Erlang,Python,16,functional,oob
Erlang,HTML,6,functional,declarative
Erlang,Ruby,11,functional,oob
Erlang,PHP,2,functional,procedural
Erlang,C++,5,functional,procedural
Erlang,C#,2,functional,oob
Erlang,TypeScript,0,functional,oob
Erlang,CSS,1,functional,declarative
Erlang,Go,3,functional,multi
Erlang,C,10,functional,imperative
Erlang,Shell,12,functional,scripted
Erlang,Swift,1,functional,multi
Erlang,Scala,2,functional,multi
Erlang,PowerShell,0,functional,scripted
Erlang,Jupyter Notebook,0,functional,oob
Erlang,Rust,2,functional,multi
Erlang,Objective-C,1,functional,oob
Erlang,Kotlin,1,functional,oob
Erlang,R,0,functional,multi
Erlang,Lua,0,functional,multi
Erlang,Perl,1,functional,multi
Erlang,Julia,0,functional,multi
Erlang,Groovy,1,functional,functional
Erlang,Elixir,8,functional,functional
Erlang,CoffeeScript,0,functional,multi
Erlang,Haskell,3,functional,functional
Erlang,Clojure,2,functional,functional
Erlang,OCaml,0,functional,functional
Erlang,Matlab,0,functional,multi
Erlang,Nix,1,functional,declarative
Erlang,Vim script,0,functional,scripted
Erlang,Erlang,220,functional,functional
Erlang,Dart,0,functional,oob
Erlang,XSLT,1,functional,declarative
Erlang,Emacs Lisp,0,functional,scripted
Erlang,Visual Basic,0,functional,multi
Erlang,Arduino,0,functional,imperative
Erlang,PLpgSQL,1,functional,declarative
Erlang,D,1,functional,multi
Erlang,Assembly,1,functional,machine
Erlang,Fortran,0,functional,imperative
Erlang,F#,0,functional,multi
Erlang,Batchfile,0,functional,scripted
Erlang,Mathematica,0,functional,undefined
Erlang,Crystal,0,functional,oob
Erlang,Apex,0,functional,undefined
Erlang,Elm,0,functional,declarative
Erlang,Smalltalk,0,functional,oob
Groovy,JavaScript,69,functional,oob
Groovy,Java,137,functional,oob
Groovy,Python,61,functional,oob
Groovy,HTML,37,functional,declarative
Groovy,Ruby,21,functional,oob
Groovy,PHP,6,functional,procedural
Groovy,C++,10,functional,procedural
Groovy,C#,8,functional,oob
Groovy,TypeScript,23,functional,oob
Groovy,CSS,19,functional,declarative
Groovy,Go,33,functional,multi
Groovy,C,11,functional,imperative
Groovy,Shell,70,functional,scripted
Groovy,Swift,2,functional,multi
Groovy,Scala,21,functional,multi
Groovy,PowerShell,3,functional,scripted
Groovy,Jupyter Notebook,1,functional,oob
Groovy,Rust,4,functional,multi
Groovy,Objective-C,1,functional,oob
Groovy,Kotlin,14,functional,oob
Groovy,R,0,functional,multi
Groovy,Lua,1,functional,multi
Groovy,Perl,4,functional,multi
Groovy,Julia,0,functional,multi
Groovy,Groovy,626,functional,functional
Groovy,Elixir,0,functional,functional
Groovy,CoffeeScript,2,functional,multi
Groovy,Haskell,0,functional,functional
Groovy,Clojure,0,functional,functional
Groovy,OCaml,0,functional,functional
Groovy,Matlab,0,functional,multi
Groovy,Nix,0,functional,declarative
Groovy,Vim script,0,functional,scripted
Groovy,Erlang,1,functional,functional
Groovy,Dart,0,functional,oob
Groovy,XSLT,5,functional,declarative
Groovy,Emacs Lisp,0,functional,scripted
Groovy,Visual Basic,1,functional,multi
Groovy,Arduino,0,functional,imperative
Groovy,PLpgSQL,0,functional,declarative
Groovy,D,0,functional,multi
Groovy,Assembly,0,functional,machine
Groovy,Fortran,0,functional,imperative
Groovy,F#,0,functional,multi
Groovy,Batchfile,0,functional,scripted
Groovy,Mathematica,0,functional,undefined
Groovy,Crystal,0,functional,oob
Groovy,Apex,0,functional,undefined
Groovy,Elm,1,functional,declarative
Groovy,Smalltalk,0,functional,oob
Haskell,JavaScript,34,functional,oob
Haskell,Java,11,functional,oob
Haskell,Python,34,functional,oob
Haskell,HTML,34,functional,declarative
Haskell,Ruby,12,functional,oob
Haskell,PHP,4,functional,procedural
Haskell,C++,7,functional,procedural
Haskell,C#,1,functional,oob
Haskell,TypeScript,4,functional,oob
Haskell,CSS,8,functional,declarative
Haskell,Go,8,functional,multi
Haskell,C,19,functional,imperative
Haskell,Shell,20,functional,scripted
Haskell,Swift,3,functional,multi
Haskell,Scala,6,functional,multi
Haskell,PowerShell,0,functional,scripted
Haskell,Jupyter Notebook,4,functional,oob
Haskell,Rust,5,functional,multi
Haskell,Objective-C,1,functional,oob
Haskell,Kotlin,0,functional,oob
Haskell,R,0,functional,multi
Haskell,Lua,0,functional,multi
Haskell,Perl,1,functional,multi
Haskell,Julia,0,functional,multi
Haskell,Groovy,0,functional,functional
Haskell,Elixir,3,functional,functional
Haskell,CoffeeScript,0,functional,multi
Haskell,Haskell,549,functional,functional
Haskell,Clojure,2,functional,functional
Haskell,OCaml,2,functional,functional
Haskell,Matlab,0,functional,multi
Haskell,Nix,12,functional,declarative
Haskell,Vim script,5,functional,scripted
Haskell,Erlang,3,functional,functional
Haskell,Dart,0,functional,oob
Haskell,XSLT,0,functional,declarative
Haskell,Emacs Lisp,8,functional,scripted
Haskell,Visual Basic,0,functional,multi
Haskell,Arduino,1,functional,imperative
Haskell,PLpgSQL,1,functional,declarative
Haskell,D,0,functional,multi
Haskell,Assembly,1,functional,machine
Haskell,Fortran,0,functional,imperative
Haskell,F#,0,functional,multi
Haskell,Batchfile,0,functional,scripted
Haskell,Mathematica,0,functional,undefined
Haskell,Crystal,0,functional,oob
Haskell,Apex,0,functional,undefined
Haskell,Elm,4,functional,declarative
Haskell,Smalltalk,0,functional,oob
OCaml,JavaScript,21,functional,oob
OCaml,Java,8,functional,oob
OCaml,Python,6,functional,oob
OCaml,HTML,8,functional,declarative
OCaml,Ruby,6,functional,oob
OCaml,PHP,0,functional,procedural
OCaml,C++,4,functional,procedural
OCaml,C#,2,functional,oob
OCaml,TypeScript,1,functional,oob
OCaml,CSS,4,functional,declarative
OCaml,Go,1,functional,multi
OCaml,C,12,functional,imperative
OCaml,Shell,11,functional,scripted
OCaml,Swift,0,functional,multi
OCaml,Scala,0,functional,multi
OCaml,PowerShell,0,functional,scripted
OCaml,Jupyter Notebook,1,functional,oob
OCaml,Rust,3,functional,multi
OCaml,Objective-C,2,functional,oob
OCaml,Kotlin,1,functional,oob
OCaml,R,3,functional,multi
OCaml,Lua,0,functional,multi
OCaml,Perl,0,functional,multi
OCaml,Julia,0,functional,multi
OCaml,Groovy,0,functional,functional
OCaml,Elixir,2,functional,functional
OCaml,CoffeeScript,0,functional,multi
OCaml,Haskell,2,functional,functional
OCaml,Clojure,1,functional,functional
OCaml,OCaml,247,functional,functional
OCaml,Matlab,0,functional,multi
OCaml,Nix,1,functional,declarative
OCaml,Vim script,1,functional,scripted
OCaml,Erlang,0,functional,functional
OCaml,Dart,0,functional,oob
OCaml,XSLT,0,functional,declarative
OCaml,Emacs Lisp,1,functional,scripted
OCaml,Visual Basic,0,functional,multi
OCaml,Arduino,0,functional,imperative
OCaml,PLpgSQL,0,functional,declarative
OCaml,D,0,functional,multi
OCaml,Assembly,2,functional,machine
OCaml,Fortran,0,functional,imperative
OCaml,F#,0,functional,multi
OCaml,Batchfile,0,functional,scripted
OCaml,Mathematica,0,functional,undefined
OCaml,Crystal,0,functional,oob
OCaml,Apex,0,functional,undefined
OCaml,Elm,0,functional,declarative
OCaml,Smalltalk,0,functional,oob
Arduino,JavaScript,15,imperative,oob
Arduino,Java,21,imperative,oob
Arduino,Python,20,imperative,oob
Arduino,HTML,11,imperative,declarative
Arduino,Ruby,6,imperative,oob
Arduino,PHP,1,imperative,procedural
Arduino,C++,27,imperative,procedural
Arduino,C#,2,imperative,oob
Arduino,TypeScript,3,imperative,oob
Arduino,CSS,2,imperative,declarative
Arduino,Go,0,imperative,multi
Arduino,C,13,imperative,imperative
Arduino,Shell,4,imperative,scripted
Arduino,Swift,2,imperative,multi
Arduino,Scala,0,imperative,multi
Arduino,PowerShell,0,imperative,scripted
Arduino,Jupyter Notebook,2,imperative,oob
Arduino,Rust,1,imperative,multi
Arduino,Objective-C,1,imperative,oob
Arduino,Kotlin,0,imperative,oob
Arduino,R,0,imperative,multi
Arduino,Lua,0,imperative,multi
Arduino,Perl,0,imperative,multi
Arduino,Julia,0,imperative,multi
Arduino,Groovy,0,imperative,functional
Arduino,Elixir,0,imperative,functional
Arduino,CoffeeScript,1,imperative,multi
Arduino,Haskell,1,imperative,functional
Arduino,Clojure,0,imperative,functional
Arduino,OCaml,0,imperative,functional
Arduino,Matlab,1,imperative,multi
Arduino,Nix,1,imperative,declarative
Arduino,Vim script,0,imperative,scripted
Arduino,Erlang,0,imperative,functional
Arduino,Dart,0,imperative,oob
Arduino,XSLT,0,imperative,declarative
Arduino,Emacs Lisp,0,imperative,scripted
Arduino,Visual Basic,0,imperative,multi
Arduino,Arduino,395,imperative,imperative
Arduino,PLpgSQL,0,imperative,declarative
Arduino,D,0,imperative,multi
Arduino,Assembly,1,imperative,machine
Arduino,Fortran,0,imperative,imperative
Arduino,F#,0,imperative,multi
Arduino,Batchfile,0,imperative,scripted
Arduino,Mathematica,0,imperative,undefined
Arduino,Crystal,0,imperative,oob
Arduino,Apex,0,imperative,undefined
Arduino,Elm,0,imperative,declarative
Arduino,Smalltalk,0,imperative,oob
C,JavaScript,297,imperative,oob
C,Java,203,imperative,oob
C,Python,510,imperative,oob
C,HTML,165,imperative,declarative
C,Ruby,106,imperative,oob
C,PHP,81,imperative,procedural
C,C++,573,imperative,procedural
C,C#,67,imperative,oob
C,TypeScript,23,imperative,oob
C,CSS,84,imperative,declarative
C,Go,125,imperative,multi
C,C,6426,imperative,imperative
C,Shell,288,imperative,scripted
C,Swift,30,imperative,multi
C,Scala,14,imperative,multi
C,PowerShell,19,imperative,scripted
C,Jupyter Notebook,30,imperative,oob
C,Rust,45,imperative,multi
C,Objective-C,34,imperative,oob
C,Kotlin,8,imperative,oob
C,R,14,imperative,multi
C,Lua,34,imperative,multi
C,Perl,49,imperative,multi
C,Julia,9,imperative,multi
C,Groovy,11,imperative,functional
C,Elixir,7,imperative,functional
C,CoffeeScript,8,imperative,multi
C,Haskell,19,imperative,functional
C,Clojure,1,imperative,functional
C,OCaml,12,imperative,functional
C,Matlab,4,imperative,multi
C,Nix,2,imperative,declarative
C,Vim script,16,imperative,scripted
C,Erlang,10,imperative,functional
C,Dart,1,imperative,oob
C,XSLT,6,imperative,declarative
C,Emacs Lisp,10,imperative,scripted
C,Visual Basic,0,imperative,multi
C,Arduino,13,imperative,imperative
C,PLpgSQL,6,imperative,declarative
C,D,3,imperative,multi
C,Assembly,25,imperative,machine
C,Fortran,10,imperative,imperative
C,F#,0,imperative,multi
C,Batchfile,4,imperative,scripted
C,Mathematica,2,imperative,undefined
C,Crystal,1,imperative,oob
C,Apex,0,imperative,undefined
C,Elm,3,imperative,declarative
C,Smalltalk,1,imperative,oob
Fortran,JavaScript,1,imperative,oob
Fortran,Java,2,imperative,oob
Fortran,Python,21,imperative,oob
Fortran,HTML,2,imperative,declarative
Fortran,Ruby,0,imperative,oob
Fortran,PHP,0,imperative,procedural
Fortran,C++,14,imperative,procedural
Fortran,C#,0,imperative,oob
Fortran,TypeScript,0,imperative,oob
Fortran,CSS,4,imperative,declarative
Fortran,Go,0,imperative,multi
Fortran,C,10,imperative,imperative
Fortran,Shell,7,imperative,scripted
Fortran,Swift,0,imperative,multi
Fortran,Scala,0,imperative,multi
Fortran,PowerShell,0,imperative,scripted
Fortran,Jupyter Notebook,5,imperative,oob
Fortran,Rust,0,imperative,multi
Fortran,Objective-C,0,imperative,oob
Fortran,Kotlin,0,imperative,oob
Fortran,R,2,imperative,multi
Fortran,Lua,0,imperative,multi
Fortran,Perl,0,imperative,multi
Fortran,Julia,1,imperative,multi
Fortran,Groovy,0,imperative,functional
Fortran,Elixir,0,imperative,functional
Fortran,CoffeeScript,0,imperative,multi
Fortran,Haskell,0,imperative,functional
Fortran,Clojure,0,imperative,functional
Fortran,OCaml,0,imperative,functional
Fortran,Matlab,0,imperative,multi
Fortran,Nix,0,imperative,declarative
Fortran,Vim script,0,imperative,scripted
Fortran,Erlang,0,imperative,functional
Fortran,Dart,0,imperative,oob
Fortran,XSLT,0,imperative,declarative
Fortran,Emacs Lisp,0,imperative,scripted
Fortran,Visual Basic,0,imperative,multi
Fortran,Arduino,0,imperative,imperative
Fortran,PLpgSQL,0,imperative,declarative
Fortran,D,0,imperative,multi
Fortran,Assembly,0,imperative,machine
Fortran,Fortran,197,imperative,imperative
Fortran,F#,0,imperative,multi
Fortran,Batchfile,1,imperative,scripted
Fortran,Mathematica,0,imperative,undefined
Fortran,Crystal,0,imperative,oob
Fortran,Apex,0,imperative,undefined
Fortran,Elm,0,imperative,declarative
Fortran,Smalltalk,0,imperative,oob
Assembly,JavaScript,10,machine,oob
Assembly,Java,4,machine,oob
Assembly,Python,6,machine,oob
