cohort,column,language,metric,value
2017-09,payload.pull_request.base.repo.open_issues_count,all,50%,3.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,50%,3.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,50%,3.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,75%,27.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,75%,27.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,75%,27.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,75%,25.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,75%,24.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,95%,441.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,95%,424.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,95%,422.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,95%,435.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,95%,418.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,99%,1693.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,99%,1876.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,99%,1797.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,99%,1774.7700000000186
2017-11,payload.pull_request.base.repo.open_issues_count,all,99%,1975.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,100%,10551.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,100%,10801.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,100%,10916.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,100%,11068.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,100%,11315.0
2017-07,payload.pull_request.base.repo.open_issues_count,all,max,10551.0
2017-08,payload.pull_request.base.repo.open_issues_count,all,max,10801.0
2017-09,payload.pull_request.base.repo.open_issues_count,all,max,10916.0
2017-10,payload.pull_request.base.repo.open_issues_count,all,max,11068.0
2017-11,payload.pull_request.base.repo.open_issues_count,all,max,11315.0
2017-07,payload.pull_request.changed_files,all,count,761004.0
2017-08,payload.pull_request.changed_files,all,count,804579.0
2017-09,payload.pull_request.changed_files,all,count,783749.0
2017-10,payload.pull_request.changed_files,all,count,965724.0
2017-11,payload.pull_request.changed_files,all,count,935658.0
2017-07,payload.pull_request.changed_files,all,mean,29.78931122569658
2017-08,payload.pull_request.changed_files,all,mean,29.12360998733499
2017-09,payload.pull_request.changed_files,all,mean,30.939689875202394
2017-10,payload.pull_request.changed_files,all,mean,32.831074924098395
2017-11,payload.pull_request.changed_files,all,mean,33.59863005499873
2017-07,payload.pull_request.changed_files,all,std,488.11898113554685
2017-08,payload.pull_request.changed_files,all,std,471.2962040241888
2017-09,payload.pull_request.changed_files,all,std,801.6735475147991
2017-10,payload.pull_request.changed_files,all,std,626.4294776931077
2017-11,payload.pull_request.changed_files,all,std,771.2234690007506
2017-07,payload.pull_request.changed_files,all,min,0.0
2017-08,payload.pull_request.changed_files,all,min,0.0
2017-09,payload.pull_request.changed_files,all,min,0.0
2017-10,payload.pull_request.changed_files,all,min,0.0
2017-11,payload.pull_request.changed_files,all,min,0.0
2017-07,payload.pull_request.changed_files,all,0%,0.0
2017-08,payload.pull_request.changed_files,all,0%,0.0
2017-09,payload.pull_request.changed_files,all,0%,0.0
2017-10,payload.pull_request.changed_files,all,0%,0.0
2017-11,payload.pull_request.changed_files,all,0%,0.0
2017-07,payload.pull_request.changed_files,all,1%,0.0
2017-08,payload.pull_request.changed_files,all,1%,0.0
2017-09,payload.pull_request.changed_files,all,1%,0.0
2017-10,payload.pull_request.changed_files,all,1%,0.0
2017-11,payload.pull_request.changed_files,all,1%,0.0
2017-07,payload.pull_request.changed_files,all,5%,1.0
2017-08,payload.pull_request.changed_files,all,5%,1.0
2017-09,payload.pull_request.changed_files,all,5%,1.0
2017-10,payload.pull_request.changed_files,all,5%,1.0
2017-11,payload.pull_request.changed_files,all,5%,1.0
2017-07,payload.pull_request.changed_files,all,25%,1.0
2017-08,payload.pull_request.changed_files,all,25%,1.0
2017-09,payload.pull_request.changed_files,all,25%,1.0
2017-10,payload.pull_request.changed_files,all,25%,1.0
2017-11,payload.pull_request.changed_files,all,25%,1.0
2017-07,payload.pull_request.changed_files,all,50%,2.0
2017-08,payload.pull_request.changed_files,all,50%,2.0
2017-09,payload.pull_request.changed_files,all,50%,2.0
2017-10,payload.pull_request.changed_files,all,50%,2.0
2017-11,payload.pull_request.changed_files,all,50%,3.0
2017-07,payload.pull_request.changed_files,all,75%,7.0
2017-08,payload.pull_request.changed_files,all,75%,7.0
2017-09,payload.pull_request.changed_files,all,75%,7.0
2017-10,payload.pull_request.changed_files,all,75%,7.0
2017-11,payload.pull_request.changed_files,all,75%,7.0
2017-07,payload.pull_request.changed_files,all,95%,43.0
2017-08,payload.pull_request.changed_files,all,95%,42.0
2017-09,payload.pull_request.changed_files,all,95%,42.0
2017-10,payload.pull_request.changed_files,all,95%,41.0
2017-11,payload.pull_request.changed_files,all,95%,43.0
2017-07,payload.pull_request.changed_files,all,99%,303.0
2017-08,payload.pull_request.changed_files,all,99%,287.0
2017-09,payload.pull_request.changed_files,all,99%,295.0
2017-10,payload.pull_request.changed_files,all,99%,295.0
2017-11,payload.pull_request.changed_files,all,99%,298.0
2017-07,payload.pull_request.changed_files,all,100%,103556.0
2017-08,payload.pull_request.changed_files,all,100%,93388.0
2017-09,payload.pull_request.changed_files,all,100%,543170.0
2017-10,payload.pull_request.changed_files,all,100%,141585.0
2017-11,payload.pull_request.changed_files,all,100%,391149.0
2017-07,payload.pull_request.changed_files,all,max,103556.0
2017-08,payload.pull_request.changed_files,all,max,93388.0
2017-09,payload.pull_request.changed_files,all,max,543170.0
2017-10,payload.pull_request.changed_files,all,max,141585.0
2017-11,payload.pull_request.changed_files,all,max,391149.0
2017-07,payload.pull_request.comments,all,count,761004.0
2017-08,payload.pull_request.comments,all,count,804579.0
2017-09,payload.pull_request.comments,all,count,783749.0
2017-10,payload.pull_request.comments,all,count,965724.0
2017-11,payload.pull_request.comments,all,count,935658.0
2017-07,payload.pull_request.comments,all,mean,3.8465080341233424
2017-08,payload.pull_request.comments,all,mean,2.265286566017756
2017-09,payload.pull_request.comments,all,mean,1.0873366345602993
2017-10,payload.pull_request.comments,all,mean,0.8453740406161595
2017-11,payload.pull_request.comments,all,mean,0.8520998056982358
2017-07,payload.pull_request.comments,all,std,62.86673120620254
2017-08,payload.pull_request.comments,all,std,44.62449142133367
2017-09,payload.pull_request.comments,all,std,11.449249558046073
2017-10,payload.pull_request.comments,all,std,3.433845443008896
2017-11,payload.pull_request.comments,all,std,4.511900398715078
2017-07,payload.pull_request.comments,all,min,0.0
2017-08,payload.pull_request.comments,all,min,0.0
2017-09,payload.pull_request.comments,all,min,0.0
2017-10,payload.pull_request.comments,all,min,0.0
2017-11,payload.pull_request.comments,all,min,0.0
2017-07,payload.pull_request.comments,all,0%,0.0
2017-08,payload.pull_request.comments,all,0%,0.0
2017-09,payload.pull_request.comments,all,0%,0.0
2017-10,payload.pull_request.comments,all,0%,0.0
2017-11,payload.pull_request.comments,all,0%,0.0
2017-07,payload.pull_request.comments,all,1%,0.0
2017-08,payload.pull_request.comments,all,1%,0.0
2017-09,payload.pull_request.comments,all,1%,0.0
2017-10,payload.pull_request.comments,all,1%,0.0
2017-11,payload.pull_request.comments,all,1%,0.0
2017-07,payload.pull_request.comments,all,5%,0.0
2017-08,payload.pull_request.comments,all,5%,0.0
2017-09,payload.pull_request.comments,all,5%,0.0
2017-10,payload.pull_request.comments,all,5%,0.0
2017-11,payload.pull_request.comments,all,5%,0.0
2017-07,payload.pull_request.comments,all,25%,0.0
2017-08,payload.pull_request.comments,all,25%,0.0
2017-09,payload.pull_request.comments,all,25%,0.0
2017-10,payload.pull_request.comments,all,25%,0.0
2017-11,payload.pull_request.comments,all,25%,0.0
2017-07,payload.pull_request.comments,all,50%,0.0
2017-08,payload.pull_request.comments,all,50%,0.0
2017-09,payload.pull_request.comments,all,50%,0.0
2017-10,payload.pull_request.comments,all,50%,0.0
2017-11,payload.pull_request.comments,all,50%,0.0
2017-07,payload.pull_request.comments,all,75%,1.0
2017-08,payload.pull_request.comments,all,75%,1.0
2017-09,payload.pull_request.comments,all,75%,1.0
2017-10,payload.pull_request.comments,all,75%,1.0
2017-11,payload.pull_request.comments,all,75%,1.0
2017-07,payload.pull_request.comments,all,95%,5.0
2017-08,payload.pull_request.comments,all,95%,5.0
2017-09,payload.pull_request.comments,all,95%,4.0
2017-10,payload.pull_request.comments,all,95%,4.0
2017-11,payload.pull_request.comments,all,95%,4.0
2017-07,payload.pull_request.comments,all,99%,15.0
2017-08,payload.pull_request.comments,all,99%,14.0
2017-09,payload.pull_request.comments,all,99%,12.0
2017-10,payload.pull_request.comments,all,99%,11.0
2017-11,payload.pull_request.comments,all,99%,11.0
2017-07,payload.pull_request.comments,all,100%,2129.0
2017-08,payload.pull_request.comments,all,100%,2500.0
2017-09,payload.pull_request.comments,all,100%,932.0
2017-10,payload.pull_request.comments,all,100%,1003.0
2017-11,payload.pull_request.comments,all,100%,2499.0
2017-07,payload.pull_request.comments,all,max,2129.0
2017-08,payload.pull_request.comments,all,max,2500.0
2017-09,payload.pull_request.comments,all,max,932.0
2017-10,payload.pull_request.comments,all,max,1003.0
2017-11,payload.pull_request.comments,all,max,2499.0
2017-07,payload.pull_request.commits,all,count,761004.0
2017-08,payload.pull_request.commits,all,count,804579.0
2017-09,payload.pull_request.commits,all,count,783749.0
2017-10,payload.pull_request.commits,all,count,965724.0
2017-11,payload.pull_request.commits,all,count,935658.0
2017-07,payload.pull_request.commits,all,mean,8.627567003589995
2017-08,payload.pull_request.commits,all,mean,8.2536071659837
2017-09,payload.pull_request.commits,all,mean,8.9008509101766
2017-10,payload.pull_request.commits,all,mean,8.60151036942232
2017-11,payload.pull_request.commits,all,mean,8.898543057399177
2017-07,payload.pull_request.commits,all,std,128.34770111090538
2017-08,payload.pull_request.commits,all,std,127.01863313504502
2017-09,payload.pull_request.commits,all,std,138.75124482859394
2017-10,payload.pull_request.commits,all,std,136.2681873669354
2017-11,payload.pull_request.commits,all,std,145.7971589279049
2017-07,payload.pull_request.commits,all,min,0.0
2017-08,payload.pull_request.commits,all,min,0.0
2017-09,payload.pull_request.commits,all,min,0.0
2017-10,payload.pull_request.commits,all,min,0.0
2017-11,payload.pull_request.commits,all,min,0.0
2017-07,payload.pull_request.commits,all,0%,0.0
2017-08,payload.pull_request.commits,all,0%,0.0
2017-09,payload.pull_request.commits,all,0%,0.0
2017-10,payload.pull_request.commits,all,0%,0.0
2017-11,payload.pull_request.commits,all,0%,0.0
2017-07,payload.pull_request.commits,all,1%,1.0
2017-08,payload.pull_request.commits,all,1%,1.0
2017-09,payload.pull_request.commits,all,1%,1.0
2017-10,payload.pull_request.commits,all,1%,1.0
2017-11,payload.pull_request.commits,all,1%,1.0
2017-07,payload.pull_request.commits,all,5%,1.0
2017-08,payload.pull_request.commits,all,5%,1.0
2017-09,payload.pull_request.commits,all,5%,1.0
2017-10,payload.pull_request.commits,all,5%,1.0
2017-11,payload.pull_request.commits,all,5%,1.0
2017-07,payload.pull_request.commits,all,25%,1.0
2017-08,payload.pull_request.commits,all,25%,1.0
2017-09,payload.pull_request.commits,all,25%,1.0
2017-10,payload.pull_request.commits,all,25%,1.0
2017-11,payload.pull_request.commits,all,25%,1.0
2017-07,payload.pull_request.commits,all,50%,1.0
2017-08,payload.pull_request.commits,all,50%,1.0
2017-09,payload.pull_request.commits,all,50%,1.0
2017-10,payload.pull_request.commits,all,50%,1.0
2017-11,payload.pull_request.commits,all,50%,1.0
2017-07,payload.pull_request.commits,all,75%,3.0
2017-08,payload.pull_request.commits,all,75%,3.0
2017-09,payload.pull_request.commits,all,75%,3.0
2017-10,payload.pull_request.commits,all,75%,3.0
2017-11,payload.pull_request.commits,all,75%,3.0
2017-07,payload.pull_request.commits,all,95%,15.0
2017-08,payload.pull_request.commits,all,95%,15.0
2017-09,payload.pull_request.commits,all,95%,15.0
2017-10,payload.pull_request.commits,all,95%,15.0
2017-11,payload.pull_request.commits,all,95%,15.0
2017-07,payload.pull_request.commits,all,99%,78.0
2017-08,payload.pull_request.commits,all,99%,72.0
2017-09,payload.pull_request.commits,all,99%,76.0
2017-10,payload.pull_request.commits,all,99%,74.0
2017-11,payload.pull_request.commits,all,99%,74.0
2017-07,payload.pull_request.commits,all,100%,10000.0
2017-08,payload.pull_request.commits,all,100%,10000.0
2017-09,payload.pull_request.commits,all,100%,10000.0
2017-10,payload.pull_request.commits,all,100%,10000.0
2017-11,payload.pull_request.commits,all,100%,10000.0
2017-07,payload.pull_request.commits,all,max,10000.0
2017-08,payload.pull_request.commits,all,max,10000.0
2017-09,payload.pull_request.commits,all,max,10000.0
2017-10,payload.pull_request.commits,all,max,10000.0
2017-11,payload.pull_request.commits,all,max,10000.0
2017-07,payload.pull_request.number,all,count,761004.0
2017-08,payload.pull_request.number,all,count,804579.0
2017-09,payload.pull_request.number,all,count,783749.0
2017-10,payload.pull_request.number,all,count,965724.0
2017-11,payload.pull_request.number,all,count,935658.0
2017-07,payload.pull_request.number,all,mean,1533.1754064367599
2017-08,payload.pull_request.number,all,mean,1531.730547280006
2017-09,payload.pull_request.number,all,mean,1479.3503915156512
2017-10,payload.pull_request.number,all,mean,1423.2237740803791
2017-11,payload.pull_request.number,all,mean,1507.343537916632
2017-07,payload.pull_request.number,all,std,5731.494967646224
2017-08,payload.pull_request.number,all,std,5821.302787116051
2017-09,payload.pull_request.number,all,std,5735.696899107953
2017-10,payload.pull_request.number,all,std,5717.601152480865
2017-11,payload.pull_request.number,all,std,6236.089372575964
2017-07,payload.pull_request.number,all,min,1.0
2017-08,payload.pull_request.number,all,min,1.0
2017-09,payload.pull_request.number,all,min,1.0
2017-10,payload.pull_request.number,all,min,1.0
2017-11,payload.pull_request.number,all,min,1.0
2017-07,payload.pull_request.number,all,0%,1.0
2017-08,payload.pull_request.number,all,0%,1.0
2017-09,payload.pull_request.number,all,0%,1.0
2017-10,payload.pull_request.number,all,0%,1.0
2017-11,payload.pull_request.number,all,0%,1.0
2017-07,payload.pull_request.number,all,1%,1.0
2017-08,payload.pull_request.number,all,1%,1.0
2017-09,payload.pull_request.number,all,1%,1.0
2017-10,payload.pull_request.number,all,1%,1.0
2017-11,payload.pull_request.number,all,1%,1.0
2017-07,payload.pull_request.number,all,5%,1.0
2017-08,payload.pull_request.number,all,5%,1.0
2017-09,payload.pull_request.number,all,5%,1.0
2017-10,payload.pull_request.number,all,5%,1.0
2017-11,payload.pull_request.number,all,5%,1.0
2017-07,payload.pull_request.number,all,25%,8.0
2017-08,payload.pull_request.number,all,25%,9.0
2017-09,payload.pull_request.number,all,25%,8.0
2017-10,payload.pull_request.number,all,25%,7.0
2017-11,payload.pull_request.number,all,25%,8.0
2017-07,payload.pull_request.number,all,50%,51.0
2017-08,payload.pull_request.number,all,50%,52.0
2017-09,payload.pull_request.number,all,50%,51.0
2017-10,payload.pull_request.number,all,50%,45.0
2017-11,payload.pull_request.number,all,50%,48.0
2017-07,payload.pull_request.number,all,75%,415.0
2017-08,payload.pull_request.number,all,75%,419.0
2017-09,payload.pull_request.number,all,75%,411.0
2017-10,payload.pull_request.number,all,75%,367.0
2017-11,payload.pull_request.number,all,75%,357.0
2017-07,payload.pull_request.number,all,95%,6968.0
2017-08,payload.pull_request.number,all,95%,6735.0
2017-09,payload.pull_request.number,all,95%,6667.599999999977
2017-10,payload.pull_request.number,all,95%,6428.849999999977
2017-11,payload.pull_request.number,all,95%,6590.149999999907
2017-07,payload.pull_request.number,all,99%,42289.0
2017-08,payload.pull_request.number,all,99%,37443.21999999997
2017-09,payload.pull_request.number,all,99%,30597.52000000002
2017-10,payload.pull_request.number,all,99%,30507.310000000056
2017-11,payload.pull_request.number,all,99%,32660.0
2017-07,payload.pull_request.number,all,100%,161570.0
2017-08,payload.pull_request.number,all,100%,52663.0
2017-09,payload.pull_request.number,all,100%,56419.0
2017-10,payload.pull_request.number,all,100%,60465.0
2017-11,payload.pull_request.number,all,100%,65031.0
2017-07,payload.pull_request.number,all,max,161570.0
2017-08,payload.pull_request.number,all,max,52663.0
2017-09,payload.pull_request.number,all,max,56419.0
2017-10,payload.pull_request.number,all,max,60465.0
2017-11,payload.pull_request.number,all,max,65031.0
2017-07,days_open_merged,1C Enterprise,count,37.0
2017-07,days_open_merged,ABAP,count,53.0
2017-07,days_open_merged,AGS Script,count,21.0
2017-07,days_open_merged,AMPL,count,14.0
2017-07,days_open_merged,ANTLR,count,61.0
2017-07,days_open_merged,API Blueprint,count,71.0
2017-07,days_open_merged,APL,count,0.0
2017-07,days_open_merged,ASP,count,200.0
2017-07,days_open_merged,ATS,count,1.0
2017-07,days_open_merged,ActionScript,count,110.0
2017-07,days_open_merged,Ada,count,11.0
2017-07,days_open_merged,Agda,count,16.0
2017-07,days_open_merged,Alloy,count,
2017-07,days_open_merged,AngelScript,count,
2017-07,days_open_merged,ApacheConf,count,164.0
2017-07,days_open_merged,Apex,count,265.0
2017-07,days_open_merged,AppleScript,count,4.0
2017-07,days_open_merged,Arc,count,
2017-07,days_open_merged,Arduino,count,346.0
2017-07,days_open_merged,AspectJ,count,2.0
2017-07,days_open_merged,Assembly,count,275.0
2017-07,days_open_merged,Augeas,count,
2017-07,days_open_merged,AutoHotkey,count,28.0
2017-07,days_open_merged,AutoIt,count,14.0
2017-07,days_open_merged,Awk,count,5.0
2017-07,days_open_merged,Ballerina,count,
2017-07,days_open_merged,Batchfile,count,371.0
2017-07,days_open_merged,Bison,count,0.0
2017-07,days_open_merged,BitBake,count,231.0
2017-07,days_open_merged,BlitzBasic,count,1.0
2017-07,days_open_merged,BlitzMax,count,9.0
2017-07,days_open_merged,Bluespec,count,
2017-07,days_open_merged,Brainfuck,count,2.0
2017-07,days_open_merged,Brightscript,count,3.0
2017-07,days_open_merged,Bro,count,1.0
2017-07,days_open_merged,C,count,14537.0
2017-07,days_open_merged,C#,count,22404.0
2017-07,days_open_merged,C++,count,29155.0
2017-07,days_open_merged,CLIPS,count,
2017-07,days_open_merged,CMake,count,606.0
2017-07,days_open_merged,COBOL,count,5.0
2017-07,days_open_merged,CSS,count,23045.0
2017-07,days_open_merged,CWeb,count,
2017-07,days_open_merged,CartoCSS,count,22.0
2017-07,days_open_merged,Ceylon,count,9.0
2017-07,days_open_merged,Chapel,count,227.0
2017-07,days_open_merged,ChucK,count,2.0
2017-07,days_open_merged,Cirru,count,
2017-07,days_open_merged,Clean,count,8.0
2017-07,days_open_merged,Clojure,count,1210.0
2017-07,days_open_merged,CoffeeScript,count,1665.0
2017-07,days_open_merged,ColdFusion,count,99.0
2017-07,days_open_merged,Common Lisp,count,405.0
2017-07,days_open_merged,Component Pascal,count,6.0
2017-07,days_open_merged,Cool,count,
2017-07,days_open_merged,Coq,count,80.0
2017-07,days_open_merged,Crystal,count,185.0
2017-07,days_open_merged,Csound,count,
2017-07,days_open_merged,Csound Document,count,
2017-07,days_open_merged,Cucumber,count,3.0
2017-07,days_open_merged,Cuda,count,39.0
2017-07,days_open_merged,D,count,657.0
2017-07,days_open_merged,DIGITAL Command Language,count,100.0
2017-07,days_open_merged,DM,count,2504.0
2017-07,days_open_merged,DOT,count,
2017-07,days_open_merged,DTrace,count,8.0
2017-07,days_open_merged,Dart,count,772.0
2017-07,days_open_merged,DataWeave,count,
2017-07,days_open_merged,Delphi,count,
2017-07,days_open_merged,Diff,count,
2017-07,days_open_merged,Dylan,count,
2017-07,days_open_merged,E,count,
2017-07,days_open_merged,ECL,count,3.0
2017-07,days_open_merged,EQ,count,6.0
2017-07,days_open_merged,Eagle,count,165.0
2017-07,days_open_merged,Eiffel,count,6.0
2017-07,days_open_merged,Elixir,count,2220.0
2017-07,days_open_merged,Elm,count,386.0
2017-07,days_open_merged,Emacs Lisp,count,681.0
2017-07,days_open_merged,EmberScript,count,12.0
2017-07,days_open_merged,Erlang,count,923.0
2017-07,days_open_merged,F#,count,423.0
2017-07,days_open_merged,FLUX,count,3.0
2017-07,days_open_merged,FORTRAN,count,13.0
2017-07,days_open_merged,Factor,count,4.0
2017-07,days_open_merged,Forth,count,2.0
2017-07,days_open_merged,Fortran,count,555.0
2017-07,days_open_merged,FreeMarker,count,151.0
2017-07,days_open_merged,GAMS,count,1.0
2017-07,days_open_merged,GAP,count,85.0
2017-07,days_open_merged,GCC Machine Description,count,8.0
2017-07,days_open_merged,GDB,count,5.0
2017-07,days_open_merged,GDScript,count,48.0
2017-07,days_open_merged,GLSL,count,26.0
2017-07,days_open_merged,Game Maker Language,count,13.0
2017-07,days_open_merged,Genshi,count,
2017-07,days_open_merged,Gherkin,count,151.0
2017-07,days_open_merged,Glyph,count,
2017-07,days_open_merged,Gnuplot,count,37.0
2017-07,days_open_merged,Go,count,21800.0
2017-07,days_open_merged,Gosu,count,113.0
2017-07,days_open_merged,Grammatical Framework,count,3.0
2017-07,days_open_merged,Groff,count,9.0
2017-07,days_open_merged,Groovy,count,1830.0
2017-07,days_open_merged,HCL,count,743.0
2017-07,days_open_merged,HLSL,count,1.0
2017-07,days_open_merged,HTML,count,48354.0
2017-07,days_open_merged,Hack,count,5.0
2017-07,days_open_merged,Handlebars,count,
2017-07,days_open_merged,Harbour,count,14.0
2017-07,days_open_merged,Haskell,count,1865.0
2017-07,days_open_merged,Haxe,count,134.0
2017-07,days_open_merged,Hy,count,1.0
2017-07,days_open_merged,HyPhy,count,1.0
2017-07,days_open_merged,IDL,count,10.0
2017-07,days_open_merged,IGOR Pro,count,
2017-07,days_open_merged,Idris,count,37.0
2017-07,days_open_merged,Inform 7,count,3.0
2017-07,days_open_merged,Inno Setup,count,8.0
2017-07,days_open_merged,Io,count,4.0
2017-07,days_open_merged,Isabelle,count,16.0
2017-07,days_open_merged,Jasmin,count,
